,23-Nov,24-Nov,25-Nov,26-Nov
,<b>Pav,<b>Methi Partha,<b>Vermicilli Upma,<b>Bhature
,<b>Vegetable Bhaji,<b>Curd,<b>Sambar,<b>Chole
,<b>Muskmelon,<b>Banana,<b>Chutney,<b>Healthy Sprout
,<b>Pesto Mayo Sandwich,<b>Bread/Jam/Butter,<b>Cut Watermelon,<b>Bread/Jam/Butter
,<b>Tea,<b>Tea,<b>Vegetable Sandwich,<b>Tea
,<b>Coffee,<b>Coffee,<b>Tea,<b>Cofee
,<b>Mix Pickle,<b>Mix Pickle,<b>Coffee,<b>Mix Pickle
,-,-,<b>Mix Pickle,-
,<l>Dal Pancratni,<l>Chana Masala,<l>Dal Makhni,<l>Mix Dal
,<l>Palak Paneer,<l>Mix Vegetables,<l>Sarso Ka Saag,<l>Paneer Masala
,<l>Sambar,<l>Rasam,<l>Sambar,<l>Sambar
,<l>Steamed Rice,<l>Jeera Pulao,<l>Pea Pulao,<l>Steamed Rice
,<l>Bhel Chat,<l>Green Salad,<l>Masala Mooli,<l>Kachumbar Salad
,<l>Chapati,<l>Chapati,<l>Missi Roti,<l>Chapati
,<l>Lemon Mint Water,<l>Masala Chaash,<l>Kaala Katta,<l>Lemon Water
,<l>Dhaba Murgh,<l>Punjabi Chicken Curry,<l>Fried Chicken,<l>Chicken Lababdar
,<l>Mix Pickle,<l>Mix Pickle,<l>Cocktail Sauce,<l>Mix Pickle
,-,-,<l>Mix Pickle,-
,<d>Gatta Curry,<d>Methi Gajar Matter,<d>Lauki Masala,<d>Tawa Veg
,<d>Dal Lobhiya,<d>Arhar Dal Tadka,<d>Black Chana,<d>Dal Lassoni
,<d>Rasam,<d>Sambar,<d>Rasam,<d>Sambar
,<d>Pea Pulao,<d>Vegetable Pulao,<d>Steamed Rice,<d>Pea Pulao
,<d>Veg Hot And Sour,<d>Tomato Adrak Ka Shorba,<d>Subz Shorba,<d>Lemon-Coriander
,<d>Chapati,<d>Chapati,<d>Chapati,<d>Chapati
,<d>Vegetable Pasta Salad,<d>Kachumbar Salad,<d>Green Salad,<d>Three Bean Salad
,<d>Chicken Masala,<d>Butter Chicken,<d>Dhaba Murgh,<d>Gulab Jamun
,-,-,-,<d>Home Style Chicken Curry
